,Browsing + Categorisation,Components,Composites,Process composition,Data composition,Testing,Debugging,Interpretation,Dialog/form,Drag & drop,Forum,Public,PbEM,Icon,Textual,Flow diagram component,Explicit control flow,Wires,Flow diagram,Form,Average,Low,Domain expert,Technical expert,Advanced user,Consumer/Individual,Composite num downloads,Context-specific,Domain-specific,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,Screencasts,API/component documentation,Tutorials,Discussion forums,Examples,Level 2,Level 3,REST,Triggers,Actions,Branches,Loops,Tool-level,Semi-automation,No automation,Sharing composites,Data flow present,Application,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Explicit data flow,Implicit data flow,Mobile context,Web context,Composite description,Composite name,Upload/Publish composite,Rename composite,Save composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component type,Browse + filter/search,Browse list,Other recommendations,No specification,In-app execution,Blog,External help/FAQ,No link,Control flow present,Component input(s),Component output(s)/result(s),Component options,Component icons,Composite creator,Component categories,Component icon,Component description,Component name,Form element
Upload/Publish composite,4,5,5,5,3,1,1,5,3,1,3,5,5,7,6,1,4,1,1,3,4,0,4,5,5,6,4,2,3,3,0,5,2,3,3,2,3,4,2,5,3,1,1,4,6,3,2,3,4,1,5,6,3,3,5,5,2,3,5,0,2,1,3,2,3,5,5,4,5,5,4,5,4,4,6,1,5,5,5,4,2,2,3,0,3,2,5,5,5,3,2,9,3,3,4,4,5,4,7,4,6,3
Rename composite,6,9,5,8,5,4,2,8,6,2,4,5,6,13,10,2,8,1,1,6,5,2,6,8,8,8,3,5,3,4,2,5,2,4,5,4,4,4,3,6,3,4,1,5,9,3,2,6,6,2,5,10,5,3,8,5,5,3,5,3,2,3,4,2,3,7,4,8,8,7,6,4,4,5,9,4,7,8,8,9,3,4,4,3,6,2,7,8,5,5,4,15,5,5,8,5,5,5,10,3,9,5
Save composite,7,10,6,9,6,5,3,9,6,3,5,6,7,13,11,3,8,2,2,6,6,2,7,9,9,10,4,5,4,4,2,7,3,4,6,5,5,5,4,7,3,5,2,5,10,4,3,6,7,2,6,12,5,4,9,6,5,4,6,3,3,3,4,3,4,8,5,8,9,8,6,5,5,5,10,5,8,9,9,9,4,4,4,3,7,2,8,9,6,5,4,17,6,6,8,5,6,6,10,4,10,6
Delete composite,6,9,6,8,5,4,2,8,6,2,5,6,6,11,9,3,7,2,2,6,6,1,6,8,8,9,4,4,4,4,1,7,3,4,5,5,5,5,4,6,3,4,2,5,9,4,3,5,7,1,6,10,4,4,8,6,4,4,6,2,3,2,4,3,4,7,5,7,8,8,6,5,4,5,9,4,8,8,8,8,3,4,4,2,6,2,7,8,6,5,4,15,5,5,7,5,6,5,9,4,9,5
Turn on/off composite,5,7,5,6,3,2,0,6,5,0,3,5,5,11,7,0,6,0,0,5,5,0,5,6,6,6,3,4,3,4,0,5,1,4,4,3,3,4,2,5,3,2,1,5,7,2,1,5,5,1,5,6,4,3,6,5,3,3,5,1,1,2,4,2,3,5,4,6,6,6,6,4,3,5,7,2,6,6,6,7,1,3,4,1,4,2,6,6,5,4,4,11,3,3,6,5,4,4,8,3,7,3
Acquire composite,4,5,5,5,3,1,1,5,3,1,3,5,5,7,6,1,4,1,1,3,4,0,4,5,5,6,4,2,3,3,0,5,2,3,3,2,3,4,2,5,3,1,1,4,6,3,2,3,4,1,5,6,3,3,5,5,2,3,5,0,2,1,3,2,3,5,5,4,5,5,4,5,4,4,6,1,5,5,5,4,2,2,3,0,3,2,5,5,5,3,2,9,3,3,4,4,5,4,7,4,6,3
Set/Edit composite parameters,4,5,4,5,4,2,2,5,2,2,2,4,5,7,6,1,4,1,1,2,3,1,4,5,5,6,3,2,3,2,1,5,2,2,4,1,3,3,2,5,2,2,1,3,6,2,2,3,3,2,4,8,3,3,5,4,2,3,4,1,2,2,2,2,3,5,4,4,5,4,3,4,5,3,6,2,4,5,5,4,3,2,2,1,3,1,5,5,4,2,0,10,4,4,4,3,4,5,6,3,6,4
Share composite on SNS,4,6,5,5,3,1,0,5,4,0,2,5,5,9,6,0,5,0,0,4,4,0,4,5,5,5,3,3,3,3,0,5,1,4,3,2,2,3,1,5,3,1,1,5,6,2,1,4,4,1,5,6,3,3,5,5,2,3,5,0,1,2,3,2,3,4,4,5,5,5,5,4,3,5,6,1,5,5,5,5,1,3,4,0,4,2,5,5,5,3,2,9,3,3,5,5,4,3,7,3,6,2
Edit composite,7,10,6,9,6,5,3,9,6,3,5,6,7,13,11,3,8,2,2,6,6,2,7,9,9,10,4,5,4,4,2,7,3,4,6,5,5,5,4,7,3,5,2,5,10,4,3,6,7,2,6,12,5,4,9,6,5,4,6,3,3,3,4,3,4,8,5,8,9,8,6,5,5,5,10,5,8,9,9,9,4,4,4,3,7,2,8,9,6,5,4,17,6,6,8,5,6,6,10,4,10,6
Execute composite,4,6,2,5,4,5,3,5,3,3,3,2,3,6,6,3,4,2,2,3,3,2,4,5,5,6,1,3,2,1,2,4,2,1,4,4,3,2,3,3,0,5,2,1,5,2,2,3,4,1,2,8,2,2,5,2,3,2,2,3,2,2,1,2,2,4,1,4,5,4,2,1,2,1,5,5,4,5,5,5,3,2,1,3,5,0,4,5,2,2,2,10,4,4,4,1,2,3,3,1,5,4
Activate component,7,11,6,9,6,5,2,10,9,3,5,8,6,11,9,3,7,2,2,9,6,2,8,10,10,11,4,5,4,4,1,11,3,6,6,5,5,6,4,6,4,5,4,5,11,4,3,5,7,3,7,12,4,6,9,6,4,6,8,2,3,3,4,5,4,7,5,7,8,8,6,5,4,5,9,4,10,10,10,9,3,4,4,2,8,3,8,9,6,5,8,17,5,5,8,5,6,5,9,5,11,7
